Per call time  -  Saturday 12 @ 14:03

  calls      time  function
      1    0.1000  {built-in method pyaudio._portaudio.initialize}
      5    0.0200  {built-in method _imp.create_dynamic}
    912    0.0120  clock.py:499(_usleep)
      1    0.0110  widget.py:861(export_as_image)
      1    0.0020  img_sdl2.py:58(save)
      1    0.0020  __init__.py:817(save)
     15    0.0010  {built-in method builtins.all}
      1    0.0010  window_sdl2.py:284(create_window)
      1    0.0010  base.py:336(mainloop)
    919    0.0000  window_sdl2.py:550(mainloop)
    339    0.0000  __init__.py:1674(on_draw)
     90    0.0000  {built-in method _io.open_code}
   1486    0.0000  window_sdl2.py:979(_wnd_proc)
    183    0.0000  label.py:317(__init__)
     99    0.0000  {method 'read' of '_io.BufferedReader' objects}
   2229    0.0000  text_sdl2.py:29(get_extents)
    339    0.0000  window_sdl2.py:471(flip)
   1580    0.0000  builder.py:180(create_handler)
   2981    0.0000  builder.py:63(call_fn)
    447    0.0000  boxlayout.py:303(do_layout)
    341    0.0000  widget.py:339(__init__)
   1502    0.0000  wm_pen.py:48(_is_pen_message)
    920    0.0000  clock.py:747(post_idle)
    920    0.0000  wm_touch.py:76(update)
    399    0.0000  {built-in method nt.stat}
    920    0.0000  base.py:316(dispatch_input)
     90    0.0000  {built-in method marshal.loads}
   7461    0.0000  {built-in method builtins.setattr}
     13    0.0000  {built-in method _io.open}
    920    0.0000  base.py:369(idle)
    262    0.0000  builder.py:907(_build_canvas)
  22517    0.0000  {built-in method builtins.getattr}
   1486    0.0000  wm_pen.py:75(_pen_wndProc)
    218    0.0000  floatlayout.py:74(do_layout)
    702    0.0000  animation.py:332(_update)
   1486    0.0000  wm_touch.py:119(_touch_wndProc)
   6984    0.0000  context.py:35(__getattribute__)
    180    0.0000  screenmanager.py:571(on_progress)
    920    0.0000  clock.py:677(idle)
   1345    0.0000  boxlayout.py:156(_iterate_layout)
  27792    0.0000  {built-in method builtins.isinstance}
    121    0.0000  text_sdl2.py:46(_render_text)
    755    0.0000  <frozen importlib._bootstrap_external>:96(_path_join)
    288    0.0000  layout.py:91(add_widget)
   4568    0.0000  {built-in method builtins.eval}
   1832    0.0000  clock.py:723(_check_ready)
      9    0.0000  img_sdl2.py:39(load)
   1718    0.0000  configparser.py:743(get)
   2350    0.0000  text_sdl2.py:24(_get_font_id)
    527    0.0000  animation.py:372(_calculate)
     13    0.0000  gridlayout.py:574(do_layout)
    103    0.0000  {method '__exit__' of '_io._IOBase' objects}
    919    0.0000  clock.py:780(tick_draw)
   6329    0.0000  __init__.py:1594(log)
    393    0.0000  __init__.py:764(render)
    485    0.0000  window_sdl2.py:543(_fix_mouse_pos)
   1718    0.0000  config.py:540(get)
     45    0.0000  _parser.py:512(_parse)
    338    0.0000  widget.py:620(add_widget)
    171    0.0000  {built-in method builtins.__build_class__}
   1503    0.0000  configparser.py:804(getboolean)
    920    0.0000  clock.py:727(tick)
   1838    0.0000  builder.py:782(sync)
    183    0.0000  label.py:340(_create_label)
     42    0.0000  buttons.py:16(__init__)
    339    0.0000  __init__.py:1576(clear)
   1262    0.0000  {method 'write' of '_io.TextIOWrapper' objects}
     13    0.0000  gridlayout.py:366(_fill_rows_cols_sizes)
   1505    0.0000  configparser.py:780(_get)
   1718    0.0000  __init__.py:1009(__getitem__)
   1505    0.0000  configparser.py:783(_get_conv)
   1718    0.0000  configparser.py:1122(_unify_values)
   1911    0.0000  <frozen importlib._bootstrap>:1390(_handle_fromlist)
    103    0.0000  __init__.py:732(_render_real)
  13206    0.0000  {method 'append' of 'list' objects}
     89    0.0000  boxlayout.py:144(__init__)
  13149    0.0000  {built-in method builtins.len}
    250    0.0000  builder.py:556(_apply_rule)
    920    0.0000  window_sdl2.py:125(update)
    341    0.0000  builder.py:749(match)
   7328    0.0000  widget.py:378(proxy_ref)
    920    0.0000  doubletap.py:68(process)
    324    0.0000  label.py:399(texture_update)
   2132    0.0000  copy.py:61(copy)
   1437    0.0000  weakmethod.py:23(__init__)
    920    0.0000  clock.py:742(pre_idle)
   2760    0.0000  {method 'pop' of 'collections.deque' objects}
    290    0.0000  __init__.py:830(refresh)
    219    0.0000  __init__.py:252(__init__)
    235    0.0000  enum.py:254(__set_name__)
   8134    0.0000  {method 'get' of 'dict' objects}
   3744    0.0000  weakmethod.py:37(__call__)
    912    0.0000  clock.py:964(usleep)
    456    0.0000  base.py:249(post_dispatch_input)
    466    0.0000  mouse.py:309(create_hover)
   1503    0.0000  configparser.py:1142(_convert_to_boolean)
    341    0.0000  builder.py:505(apply)
     86    0.0000  scrollview.py:1097(update_from_scroll)
    357    0.0000  widget.py:1578(inc_disabled)
    920    0.0000  mouse.py:413(update)
     40    0.0000  _compiler.py:37(_compile)
     12    0.0000  cache.py:213(_purge_by_timeout)
    146    0.0000  <frozen importlib._bootstrap_external>:1593(find_spec)
   2752    0.0000  {built-in method _ctypes.byref}
   4501    0.0000  builder.py:75(delayed_call_fn)
    495    0.0000  wm_touch.py:150(_mouse_handler)
   1718    0.0000  __init__.py:999(__init__)
    920    0.0000  tripletap.py:72(process)
    492    0.0000  mouse.py:100(depack)
     46    0.0000  image.py:321(__init__)
    108    0.0000  <frozen importlib._bootstrap>:124(setdefault)
   5048    0.0000  {method 'lower' of 'str' objects}
   3149    0.0000  {method 'startswith' of 'str' objects}
    138    0.0000  button.py:115(__init__)
   6418    0.0000  __init__.py:1790(isEnabledFor)
